N,beta1,beta2,beta3,psim,psiy,rmse_etay,bias.fspa.beta1.est,bias.2spa.beta1.est,bias.sem.beta1.est,bias.fspa.beta2.est,bias.2spa.beta2.est,bias.sem.beta2.est,bias.fspa.beta3.est,bias.2spa.beta3.est,bias.sem.beta3.est,bias.fspa.std_ind.est,bias.2spa.std_ind.est,bias.sem.std_ind.est,rmse.fspa.beta1.est,rmse.2spa.beta1.est,rmse.sem.beta1.est,rmse.fspa.beta2.est,rmse.2spa.beta2.est,rmse.sem.beta2.est,rmse.fspa.beta3.est,rmse.2spa.beta3.est,rmse.sem.beta3.est,rmse.fspa.std_ind.est,rmse.2spa.std_ind.est,rmse.sem.std_ind.est,coverage1,coverage2,coverage3,coverage4,coverage5,coverage6,coverage7,coverage8,coverage9,coverage10,coverage11,coverage12,power1,power2,power3,power4,power5,power6,power7,power8,power9,power10,power11,power12,REPLICATIONS,SIM_TIME,COMPLETED,SEED,ERRORS,WARNINGS
50,0,0.3,0,0.99498743710662,0.9825477087653302,0.5530623245045203,0.0017325026748330123,0.0018491779983544595,0.0014688969264659122,-0.07006918497382779,-0.05352648294711972,-0.10658555610434375,0.007496133139779756,0.009715099380827059,0.020111613379997964,-5.200759684637795e-4,-8.016370426749676e-4,-0.0039274526220832535,0.2011920066389601,0.2389827448570826,0.25434798164135947,0.20308442350361905,0.2121701377512891,0.3635183947876619,0.0999911419069838,0.12611671019683915,0.2541346260483536,0.02041460820904515,0.030358115241268222,0.09574461098014103,0.942,0.942,0.9319999999999999,0.9356,0.9448,0.8976,0.9464,0.946,0.6596,0.9924,0.996,0.9828,0.05800000000000005,0.05800000000000005,0.06800000000000006,0.2136,0.21399999999999997,0.2627999999999999,0.05359999999999998,0.05400000000000005,0.34040000000000004,0.007600000000000051,0.0040000000000000036,0.017199999999999993,2500,25646.281,Sat Aug 20 16:34:56 2022,21390926,21525,19380
100,0,0.3,0,0.99498743710662,0.9825477087653302,0.5356498685418161,-6.390950665820104e-4,-8.520039341622715e-4,-0.0015607227076861305,-0.04919664994807007,-0.026983721109985506,-0.03135022916925006,0.0035972170282803136,0.0045605268794475795,0.008072780923871556,-2.923674647261164e-5,-5.371731209483188e-5,-3.2465215984702264e-4,0.13959186944545998,0.16649640391531417,0.1707566506173944,0.14431428110796918,0.1503562871478411,0.17003811453914258,0.06953790573564596,0.08974978811162998,0.1340335718075733,0.010064871431858661,0.015475600234398024,0.02618219538601442,0.9532,0.9532,0.9436,0.9332,0.9472,0.94,0.9532,0.9516,0.8404,0.9944,0.9952,0.992,0.04679999999999995,0.04679999999999995,0.056400000000000006,0.43080000000000007,0.4304,0.4356,0.04679999999999995,0.0484,0.15959999999999996,0.005600000000000049,0.0048000000000000265,0.008000000000000007,2500,7900.2670000000035,Sat Aug 20 18:46:36 2022,21390926,3901,6508
300,0,0.3,0,0.99498743710662,0.9825477087653302,0.5227699785848632,0.001860798125980585,0.002286870196623826,0.001968301556648988,-0.03799849210879479,-0.011696511379430622,-0.006055475899423615,0.0032387005672630297,0.0041120589536870825,0.004245986448933372,7.108209515587815e-5,1.1482015541654189e-4,1.2378565034579182e-4,0.08181478469292335,0.0979298777561577,0.09914578050190989,0.08985041797289374,0.09033405133409604,0.09185060695771963,0.039609929268295804,0.052214711674655724,0.05770971465170495,0.003297487032442494,0.005204328209553509,0.005837766315311214,0.9528,0.9528,0.9492,0.9152,0.9368,0.9412,0.9568,0.9576,0.9368,0.994,0.9984,0.9988,0.04720000000000002,0.04720000000000002,0.050799999999999956,0.8972,0.8964,0.8964,0.043200000000000016,0.04239999999999999,0.06320000000000003,0.006000000000000005,0.0016000000000000458,0.0011999999999999789,2500,3401.262999999999,Sat Aug 20 19:43:17 2022,21390926,346,2859
1000,0,0.3,0,0.99498743710662,0.9825477087653302,0.5164779231137283,-2.7099952573872628e-5,-1.4500902154224365e-5,-3.608253287895733e-5,-0.03744303305872827,-0.009886626797263258,-0.0018074561290552548,0.003521048412613336,0.0044854302942729934,0.004400945122342095,-1.0414390049323896e-5,-1.6585188623195528e-5,-2.0386337194423477e-5,0.04417763949177571,0.05296201518590171,0.05337032390862706,0.05745417951502376,0.04910454523586497,0.04963503369718563,0.021786303437813823,0.02880089381525689,0.03041947416435535,9.552718673226979e-4,0.001519098547792823,0.0016203556084311115,0.954,0.954,0.9504,0.8644000000000001,0.9416,0.9488,0.9556,0.9568,0.95,0.9932,0.9964,0.9984,0.04600000000000004,0.04600000000000004,0.04959999999999998,1,1,1,0.044399999999999995,0.043200000000000016,0.050000000000000044,0.006800000000000028,0.0036000000000000476,0.0016000000000000458,2500,6629.502999999997,Sat Aug 20 21:33:47 2022,21390926,1,2503
50,0.5,0.3,0,0.9630680142129111,0.9825477087653302,0.5530932204024266,-0.1022430080421456,-0.03164106295640947,-0.01563618865015427,-0.07397101298877086,-0.05981096184418791,-0.11400376345095725,0.005321028796894518,0.007908001141336775,0.013611529168708714,0.002465604204522027,0.0043231031953419406,0.004657485647059883,0.21571087158949348,0.22615817231828014,0.2617349393370353,0.20423984738883713,0.21728814563270954,0.3890543758857224,0.10332313258107192,0.13137768603862995,0.29610825427314685,0.04631687234842863,0.07034055330060313,0.20666577233445227,0.9048,0.94,0.9048,0.9408,0.9456,0.8908,0.9472,0.9456,0.658,0.966,0.9672000000000001,0.8340000000000001,0.548,0.548,0.5796,0.1916,0.18279999999999996,0.23839999999999995,0.05279999999999996,0.054400000000000004,0.34199999999999997,0.03400000000000003,0.03279999999999994,0.16599999999999993,2500,29456.994,Sun Aug 21 05:44:44 2022,21390926,21859,19182
100,0.5,0.3,0,0.9630680142129111,0.9825477087653302,0.5363616275467331,-0.08619228395235033,-0.005751843591129086,0.003338023106470689,-0.05268391334927269,-0.031463093267548516,-0.036185863052705,0.0025574474031494544,0.0033912318360773495,0.003421327755756801,9.510474706908528e-4,0.0015720176891320136,0.0017168198978909247,0.15968042049976797,0.1609245011107314,0.16665673269526368,0.14805380368907456,0.15731522746191182,0.18533068924905133,0.07041847011774924,0.09278255083816192,0.12923779947091832,0.031060617960954343,0.04899906847323186,0.07762441088634188,0.8928,0.95,0.938,0.9344,0.9464,0.9368,0.956,0.9544,0.8536,0.9592,0.9572,0.8824,0.8456,0.846,0.858,0.4132,0.3964000000000001,0.4044,0.04400000000000004,0.045599999999999974,0.14639999999999997,0.04079999999999995,0.04279999999999995,0.11760000000000004,2500,8478.018000000011,Sun Aug 21 08:06:02 2022,21390926,3879,6524
300,0.5,0.3,0,0.9630680142129111,0.9825477087653302,0.5226883050220512,-0.08479104562545833,-0.0031599410565337025,1.736432699409532e-4,-0.04009498186350161,-0.014641329173704662,-0.009482420010290411,0.003437869483180443,0.004525128246207077,0.004684118468778152,0.0014783267242237132,0.0023232628686530752,0.0024347490942203316,0.11501641423132648,0.0936074595121644,0.09346419646592137,0.09235480519640328,0.09447591948291532,0.09875596384121949,0.04049111681557196,0.05445090642278187,0.06038004696989563,0.01725671771514584,0.02779569212065274,0.031073318590989187,0.7904,0.9496,0.9492,0.912,0.9408,0.9424,0.958,0.9592,0.9384,0.9584,0.9588,0.9376,1,1,1,0.8848,0.8676,0.86,0.04200000000000004,0.04079999999999995,0.06159999999999999,0.04159999999999997,0.041200000000000014,0.06240000000000001,2500,3524.5429999999906,Sun Aug 21 09:04:46 2022,21390926,340,2869
1000,0.5,0.3,0,0.9630680142129111,0.9825477087653302,0.5164779231137283,-0.08496924495723916,-0.002653121777440886,-0.0015762832010203546,-0.03896719428977709,-0.012243226770095369,-0.004126164083617512,0.0036772923949847476,0.004792603961586007,0.00466800529972604,0.0015137349166272419,0.002373239394833415,0.0022990267135245233,0.09475144787286105,0.051281511585356335,0.05017009329290603,0.05920748021761379,0.05177433000117572,0.05232337557928826,0.02229109492359611,0.030071283506362474,0.03175949694853526,0.009254243455792087,0.01498360018277052,0.01584831948069355,0.47040000000000004,0.9476,0.9496,0.8604,0.948,0.9508,0.9552,0.9568,0.9508,0.956,0.9568,0.9496,1,1,1,1,1,1,0.04479999999999995,0.043200000000000016,0.04920000000000002,0.04400000000000004,0.043200000000000016,0.0504,2500,7041.331000000006,Sun Aug 21 11:02:07 2022,21390926,1,2504
50,0,0.3,0.4,0.99498743710662,0.8925245094673872,0.5506982322098883,-0.003561929351802648,-0.0046847453251651575,-0.005053414141866124,-0.07373883909512594,-0.054960138411507084,-0.14285385962000471,-0.10968215399003488,-0.037768000176259885,0.09751333550074179,-0.0016716337952085813,-0.0023888035816912664,-0.0037116950633232556,0.19571213509518742,0.23201968127019254,0.24345324700027168,0.19500326629076822,0.20458789341285336,0.397046767601241,0.14394197266696496,0.12673029349345186,0.21178459522365245,0.05926639705087673,0.08806245823473209,0.1400120284156958,0.9492,0.952,0.9428,0.9319999999999999,0.9448,0.864,0.7696000000000001,0.9228,0.7388,0.95,0.9528,0.9488,0.050799999999999956,0.04800000000000004,0.05720000000000003,0.22320000000000007,0.22360000000000002,0.2792,0.8492,0.8428,0.9616,0.050000000000000044,0.04720000000000002,0.05120000000000002,2500,25515.48999999999,Sun Aug 21 18:07:23 2022,21390926,28339,20428
100,0,0.3,0.4,0.99498743710662,0.8925245094673872,0.53544021766135,-0.0021358100710125324,-0.002493724808100598,-0.003363878573329589,-0.046977104513961074,-0.022107804180019817,-0.0364701698652219,-0.10774590291567279,-0.023528599940423774,0.044190756044945906,-6.549006125621894e-4,-7.996472254930126e-4,-0.0016453461844839112,0.1387075868656286,0.1656542204638469,0.17024624831805546,0.1383618424640163,0.14607529823460724,0.19621459640529573,0.1254861601225719,0.08692057575748313,0.12002612287408537,0.041531929840587824,0.0638609561205909,0.08254657667454579,0.946,0.9468,0.944,0.9372,0.952,0.9316,0.598,0.9408,0.8596,0.9468,0.9472,0.9432,0.05400000000000005,0.053200000000000025,0.05600000000000005,0.48239999999999994,0.472,0.48360000000000003,0.9908,0.9908,0.9967999999999999,0.053200000000000025,0.05279999999999996,0.05679999999999996,2500,7270.272000000012,Sun Aug 21 20:08:33 2022,21390926,5322,7119
300,0,0.3,0.4,0.99498743710662,0.8925245094673872,0.521903664611288,2.4594267985894293e-4,3.9038160905092886e-4,1.1202006783885086e-4,-0.041854845113162946,-0.01329193977645573,-0.00874410324734053,-0.10827124731957094,-0.014276350556319916,0.012457662491342374,1.8976041118648385e-5,1.1805463151365683e-4,-4.5792555510336e-5,0.08103494146039905,0.09706298980765646,0.09816105534303085,0.08706812974357082,0.08636817544179964,0.09383510354474851,0.11437456661174535,0.051831082270611596,0.05260670284213118,0.023731234201328985,0.03755541331495224,0.04077345497238057,0.9496,0.95,0.948,0.9136,0.946,0.9496,0.1412,0.9384,0.9236,0.95,0.9504,0.9484,0.0504,0.050000000000000044,0.052000000000000046,0.9256,0.922,0.9096,1,1,1,0.050000000000000044,0.04959999999999998,0.05159999999999998,2500,3569.130999999994,Sun Aug 21 21:08:02 2022,21390926,480,2964
1000,0,0.3,0.4,0.99498743710662,0.8925245094673872,0.5161854111597892,-5.946087869517158e-4,-7.398419995940652e-4,-8.036200543590291e-4,-0.03867010407555544,-0.008574844049454834,-1.9348605252021055e-4,-0.10650901761883849,-0.009418649190486841,0.007096983623129291,-1.8517646524737438e-4,-2.686761097203919e-4,-3.383584244537732e-4,0.04389481020488782,0.052500165106491234,0.05292542659523556,0.05629636946377034,0.04699165390460079,0.047830190471485616,0.10830683239506489,0.028763504645234868,0.027709985342357406,0.012910276575879506,0.020559946480753922,0.02158933889683912,0.956,0.9552,0.952,0.8468,0.9476,0.9528,0,0.9324,0.9472,0.9552,0.9552,0.952,0.04400000000000004,0.04479999999999995,0.04800000000000004,1,1,1,1,1,1,0.04479999999999995,0.04479999999999995,0.04800000000000004,2500,7175.1020000000135,Sun Aug 21 23:07:37 2022,21390926,5,2501
50,0.5,0.3,0.4,0.9630680142129111,0.8755569655939013,0.5789831731510909,-0.10132469270188223,-0.030889019949447594,-0.010769617733520582,-0.0397261732271299,-0.06602879886238124,-0.24001133241328101,-0.11205836329231432,-0.031757394836013045,0.11612623453815968,-0.08521892956369047,-0.026208183890909818,0.06169842052459804,0.2104646101329053,0.22096536861281255,0.24266394839331207,0.18540131110945518,0.21864387133091998,0.503711848886373,0.1467278221021674,0.1303709149936288,0.24030024844991013,0.10946437039813434,0.11089684832268784,0.24598602586961227,0.9172,0.946,0.9256,0.9496,0.9408,0.8311999999999999,0.756,0.9272,0.732,0.7712,0.938,0.9104,0.5488,0.5468,0.5608,0.27560000000000007,0.19079999999999997,0.19599999999999995,0.8444,0.8348,0.964,0.47320000000000007,0.4603999999999999,0.5352,2500,32777.587,Mon Aug 22 08:13:55 2022,21390926,61845,21430
100,0.5,0.3,0.4,0.9630680142129111,0.8755569655939013,0.5692287422431934,-0.09442364135694495,-0.01796251423662906,-0.007821651541043579,0.0019508919287122557,-0.019735467272879757,-0.07321461466616004,-0.11652012634632312,-0.02300911231300459,0.04515508564474189,-0.08492758750487127,-0.017665024487101937,0.021363754067437592,0.16450952825787207,0.1609638229650639,0.16599234365910562,0.12966167655178576,0.15160639266106712,0.22036315334129794,0.13279573036727435,0.09096392527535502,0.12429883248796045,0.09714472861401947,0.07871288462369123,0.11096916052733076,0.8872,0.948,0.938,0.9516,0.9512,0.9188,0.5512,0.9388,0.8508,0.6172,0.9488,0.9284,0.8364,0.8344,0.8448,0.622,0.4416,0.36519999999999997,0.9844,0.9844,0.996,0.8244,0.8228,0.842,2500,10388.397999999986,Mon Aug 22 11:07:03 2022,21390926,9981,7510
300,0.5,0.3,0.4,0.9630680142129111,0.8755569655939013,0.5581402823542302,-0.08416050365599108,-0.003218502945836454,-9.104053997263213e-5,0.012295541284190829,-0.009017909054626686,-0.018875871139616085,-0.1145258968634915,-0.009631190800306928,0.014175950448174742,-0.08127347233235224,-0.005891815701463049,0.0072649812153524765,0.11354713899596625,0.0915660937602092,0.09180408018471542,0.0777980270692582,0.09110189415735039,0.09493868569105363,0.12034349228861341,0.05277954655490827,0.05541834636760029,0.08557822105396506,0.045430195903349756,0.048365358168968545,0.81,0.9492,0.9432,0.9388,0.9452,0.94,0.11360000000000003,0.944,0.9228,0.22399999999999998,0.9536,0.9476,0.9992,0.9992,0.9996,0.9792,0.8928,0.8647999999999999,1,1,1,0.9992,0.9992,0.9996,2500,4054.581999999995,Mon Aug 22 12:14:38 2022,21390926,1062,3084
1000,0.5,0.3,0.4,0.9630680142129111,0.8755569655939013,0.5530742571828269,-0.08501924155196557,-0.0035866977965484984,-0.002510106692332276,0.01377065542005046,-0.007284492110009507,-0.005912561775244793,-0.1124932625858573,-0.0035642478488482933,0.00842876416936153,-0.08068040236061656,-0.003196317414853269,0.0032676288232113535,0.0946853323206681,0.05090266381271313,0.049947593974906196,0.04370658959346567,0.049870202663308716,0.050143252680205815,0.11429233752941227,0.029603823310135436,0.029575903764460315,0.08201297529933901,0.02516627277981306,0.025648698544349122,0.46719999999999995,0.9464,0.9492,0.9376,0.946,0.9496,3.9999999999995595e-4,0.9412,0.9368,0.0028000000000000247,0.954,0.9504,1,1,1,1,1,1,1,1,1,1,1,1,2500,7418.595000000001,Mon Aug 22 14:18:16 2022,21390926,27,2511
